REF_DATE,GEO,DGUID,Age at time of death,Sex,Characteristics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2011-02-12,"Canada, place of occurrence",2021A000011124,"Age at time of death, all ages",Both sexes,Number of deaths,Number,223,units,0,v1161320321,1.1.1.1,5050,,,,0
2011-02-19,"Canada, place of occurrence",2021A000011124,"Age at time of death, all ages",Both sexes,Number of deaths,Number,223,units,0,v1161320321,1.1.1.1,5080,,,,0
2011-02-26,"Canada, place of occurrence",2021A000011124,"Age at time of death, all ages",Both sexes,Number of deaths,Number,223,units,0,v1161320321,1.1.1.1,5055,,,,0
2011-03-05,"Canada, place of occurrence",2021A000011124,"Age at time of death, all ages",Both sexes,Number of deaths,Number,223,units,0,v1161320321,1.1.1.1,4950,,,,0
2011-03-12,"Canada, place of occurrence",2021A000011124,"Age at time of death, all ages",Both sexes,Number of deaths,Number,223,units,0,v1161320321,1.1.1.1,5130,,,,0
2011-03-19,"Canada, place of occurrence",2021A000011124,"Age at time of death, all ages",Both sexes,Number of deaths,Number,223,units,0,v1161320321,1.1.1.1,5005,,,,0
2011-03-26,"Canada, place of occurrence",2021A000011124,"Age at time of death, all ages",Both sexes,Number of deaths,Number,223,units,0,v1161320321,1.1.1.1,4770,,,,0
2011-04-02,"Canada, place of occurrence",2021A000011124,"Age at time of death, all ages",Both sexes,Number of deaths,Number,223,units,0,v1161320321,1.1.1.1,4995,,,,0
2011-04-09,"Canada, place of occurrence",2021A000011124,"Age at time of death, all ages",Both sexes,Number of deaths,Number,223,units,0,v1161320321,1.1.1.1,4815,,,,0
2011-04-16,"Canada, place of occurrence",2021A000011124,"Age at time of death, all ages",Both sexes,Number of deaths,Number,223,units,0,v1161320321,1.1.1.1,4655,,,,0
2011-04-23,"Canada, place of occurrence",2021A000011124,"Age at time of death, all ages",Both sexes,Number of deaths,Number,223,units,0,v1161320321,1.1.1.1,4715,,,,0
2011-04-30,"Canada, place of occurrence",2021A000011124,"Age at time of death, all ages",Both sexes,Number of deaths,Number,223,units,0,v1161320321,1.1.1.1,4715,,,,0
2011-05-07,"Canada, place of occurrence",2021A000011124,"Age at time of death, all ages",Both sexes,Number of deaths,Number,223,units,0,v1161320321,1.1.1.1,4680,,,,0
2011-05-14,"Canada, place of occurrence",2021A000011124,"Age at time of death, all ages",Both sexes,Number of deaths,Number,223,units,0,v1161320321,1.1.1.1,4650,,,,0
2011-05-21,"Canada, place of occurrence",2021A000011124,"Age at time of death, all ages",Both sexes,Number of deaths,Number,223,units,0,v1161320321,1.1.1.1,4625,,,,0
